sr_no,date,startup_name,industry_vertical,city_location,investors_name,investmentntype,amount_in_usd,year,month
1131,2016-07-12,Revv,Consumer Internet,New Delhi,Edelweiss Private Equity,Private Equity,9000000.0,2016,7
1132,2016-07-12,WealthApp,Consumer Internet,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,440000.0,2016,7
1134,2016-08-12,Zest Money,Consumer Internet,Mumbai,PayU,Private Equity,6500000.0,2016,8
1135,2016-08-12,GoMechanic,Consumer Internet,Gurgaon,Venture Catalysts,Seed Funding,250000.0,2016,8
1136,2016-09-12,Stalk Buy Love,eCommerce,New Delhi,Kalaari Capital,Private Equity,6000000.0,2016,9
1138,2016-09-12,Wittyparot,Technology,Bangalore,Mumbai Angels,Seed Funding,450000.0,2016,9
1139,2016-09-12,NeuroEquilibrium,Technology,Jaipur,Unicorn India Ventures,Seed Funding,250000.0,2016,9
1140,2016-12-12,Xseed Education,Technology,Bangalore,Verlinvest SA,Private Equity,10000000.0,2016,12
1141,2016-12-12,Rupaiya Exchange,Consumer Internet,New Delhi,Undisclosed Investors,Seed Funding,200000.0,2016,12
1142,2016-12-12,Doctor Insta,Consumer Internet,Gurgaon,RoundGlass Partners,Private Equity,2000000.0,2016,12
1144,2016-12-12,Fresh Food Concepts,Food & Beverage,New Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,2000000.0,2016,12
1188,2016-01-11,PickMyLaundry,Consumer Internet,New Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,200000.0,2016,1
1189,2016-02-11,FreshDesk,Consumer Internet,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,55000000.0,2016,2
1190,2016-02-11,LaundryAnna,Consumer Internet,Bangalore,Undisclosed Investors,Seed Funding,150000.0,2016,2
1193,2016-03-11,Zarget,Technology,Chennai,Sequoia India,Private Equity,6000000.0,2016,3
1195,2016-03-11,EasyPolicy,Consumer Internet,Noida,"Unilazer Ventures,",Private Equity,10000000.0,2016,3
1197,2016-04-11,Connect India,Logistics,Bangalore,Aavishkaar Venture Management,Private Equity,1000000.0,2016,4
1198,2016-04-11,Corseco,Technology,New Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,150000.0,2016,4
1201,2016-05-11,Medzin,eCommerce,New Delhi,A M Sikander,Seed Funding,45000.0,2016,5
1202,2016-05-11,Bizongo,eCommerce,Mumbai,"IDG Ventures, Accel Partners",Private Equity,3000000.0,2016,5
1203,2016-07-11,Rivigo,Technology,Gurgaon,Warburg Pincus,Private Equity,75000000.0,2016,7
1204,2016-07-11,JustRide,Consumer Internet,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,3000000.0,2016,7
1205,2016-09-11,IIM Jobs,Consumer Internet,New Delhi,India Quotient,Private Equity,2000000.0,2016,9
1206,2016-09-11,Square Yards,Consumer Internet,Gurgaon,ADAG Reliance Private Equity,Private Equity,12000000.0,2016,9
